"stop_id","stop_name","stop_desc","stop_lat","stop_lon"
500001972,"Av. Prof. Celestino Bourroul, 890","Ref.: Av Casa Verde/ R Coronel Mario De Azevedo / Pça. Marco Antônio Primon Maestre",-23.506027,-46.673202
500001973,"Av. Prof. Celestino Bourroul, 685","Ref.: R Luar Do Meu Bem/ R Amadeu Danieli Filho",-23.507556,-46.673833
500001974,"R. Con. Araújo Marcondes, 34","Ref.: R Conego Araujo Marcondes/ R Sampaio Correa",-23.509388,-46.673275
500001975,"Av. Casa Verde, 3467","Ref.: Av Prof. Celestino Bourroul/ R Nicolino Stoffa",-23.507080,-46.672003
500001976,"R. João Serrano, 349","Ref.: R Gen. Tasso Fragoso/ R Madalena Madureira",-23.502430,-46.669125
500001977,"R. João Serrano, 528","Ref.: Av Eng. Caetano Alvares/ R Brg. Xavier De Brito",-23.503047,-46.667510
500001978,"R. Dr. Freire Cisneiro, 105","Ref.: R Coronel Euclides Machado/ R Doutor Francisco De Paula Candido",-23.506822,-46.687126
500001979,"R. Espigão D'oeste","Ref.: R Coronel Euclides Machado/ R Carlos Porto Carreiro",-23.507315,-46.684413
500001981,"R. Francisco Rodrigues Nunes","Ref.: R Maesto Gabriel Migliori/ R Manuel Pinto De Carvalho",-23.507377,-46.680969
500001982,"R. Francisco Rodrigues Nunes","Ref.: R Maesto Gabriel Migliori/ R Manuel Pinto De Carvalho",-23.507284,-46.681295
500001983,"R. Francisco Rodrigues Nunes","Ref.: R Maesto Gabriel Migliori/ R Jose Papaterra Limongi",-23.507369,-46.679887
500001984,"R. Francisco Rodrigues Nunes","Ref.: R Isabel De Siqueira Barros/ R Jose Papaterra Limongi",-23.507734,-46.678398
500001992,"R. Gen. Mello Rezende","Ref.: R Professor Dario Ribeiro/ R Augusto Franco De Sousa",-23.493396,-46.672279
500001993,"R. Gen. Mello Rezende, 11","Ref.: R Maria Elisa Siqueira/ R Otavio Barreto",-23.495285,-46.672266
500001994,"R. Maria Eliza Siqueira, 410","Ref.: R Narcisa Amalia/ R General Melo Resende",-23.495529,-46.672342
500001995,"R. Maria Eliza Siqueira, 233","Ref.: Pc Menino Jesus/ R Maues",-23.496390,-46.673387
500001996,"R. Pe. Moura, 137","Ref.: R Araguacema/ R Maria Elisa Siqueira",-23.496967,-46.673786
500001997,"R. Pe. Moura, 27","Ref.: Av Deputado Emilio Carlos/ R Teixeira Dormundo",-23.498447,-46.675232
500001998,"Av. Dep. Emílio Carlos, 718","Ref.: R Padre Moura/ R Atenagoras",-23.498703,-46.675218
500001999,"Av. Dep. Emílio Carlos, 691","Ref.: R Francisco Antonio Furlan/ R Padre Moura",-23.498241,-46.675829
500002000,"Av. Dep. Emílio Carlos, 1044","Ref.: Av Clavasio Alves Da Silva/ R Filipe Fragoso",-23.496559,-46.676599
500002097,"Av. Eng. Caetano Alvares, 605","Ref.: R Amadeu Danieli Filho/ R Angela Pezavento Gios",-23.508134,-46.670708
500002098,"Av. Eng. Caetano Alvares, 341","Ref.: R Con. Araujo Marcondes/ Av Otaviano Alves De Lima",-23.510773,-46.670890
500005001,"Av. Antônio Munhoz Bonilha, 1292","Ref.: R Vicente Ferreira Leite/ R Benedito Augusto Ferreira",-23.495495,-46.679066
500005002,"Av. Antônio Munhoz Bonilha, 1314","Ref.: R Vicente Ferreira Leite/ R Padre Coutinho",-23.495518,-46.679289
500005003,"Av. Antônio Munhoz Bonilha, 1037","Ref.: R Padre Estanislau De Campos/ R Rodolfo Teofilo",-23.495591,-46.681951
500005004,"Av. Antônio Munhoz Bonilha, 1034","Ref.: R Padre Estanislau De Campos/ R Rodolfo Teofilo",-23.495607,-46.681937
500005005,"Av. Antônio Munhoz Bonilha, 657","Ref.: R Sao Leandro/ R Natercia",-23.498020,-46.683589
500005006,"Av. Antônio Munhoz Bonilha, 640","Ref.: R Sao Leandro/ R Elias Da Costa",-23.498254,-46.683515
500005007,"Av. Antônio Munhoz Bonilha, 450","Ref.: R Pedra Bela/ R Santo Ubaldo",-23.499930,-46.683895
500005008,"Av. Antônio Munhoz Bonilha, 407","Ref.: R Dornelandia/ R Pedra Bela",-23.500384,-46.684097
500005009,"Av. Antônio Munhoz Bonilha","Ref.: R Correia De Sa/ Av Nossa Senhora Do O",-23.502672,-46.684602
500005010,"R. Bartolomeu Do Canto","Ref.: R Rafael Dias/ R Ribeiro De Morais",-23.502285,-46.686150
500005011,"Parada 2 - Inajar De Souza","Av. Nsa. Sra. Do Ó, 1453 Ref.: R Onezino Pereira Do Nascimento/ R Engenheiro Jose Pastore",-23.505057,-46.687445
500005012,"Av. Nsa. Sra. Do Ó, 1075","Ref.: R Doutor Heleno Claudio Fragoso/ R Nelson Francisco",-23.503913,-46.683945
500005013,"Av. Nsa. Sra. Do Ó, 1035","Ref.: R Nelson Francisco/ R Doutor Heleno Claudio Fragoso",-23.504114,-46.683240
500005014,"R. Nelson Francisco","Ref.: R Manuel Pinto De Carvalho/ R Maesto Gabriel Migliori",-23.504558,-46.681118
500005015,"Av. Nsa. Sra. Do Ó","Ref.: R Gregorio Coelho/ R Maestro Gabriel Migliori",-23.503823,-46.680605
